tradeday,account,action,amount
2017-06-21,XLIN01,Deposit,1000
2017-07-06,XLIN01,Deposit,1000
2017-07-17,XLIN01,Deposit,300
2017-07-19,XLIN01,Deposit,500
2017-07-19,XLIN01,Deposit,20
2017-08-03,XLIN01,Deposit,500
2017-08-04,XLIN01,Deposit,180
2017-11-06,XLIN01,Deposit,1000
2017-11-06,XLIN01,Deposit,1500
2018-01-12,XLIN01,Deposit,1000
2018-02-26,XLIN01,Deposit,5000
2018-03-14,XLIN01,Deposit,1580.72
2018-03-23,XLIN01,Withdrawal,-3080.72
2018-07-18,XLIN01,Deposit,5000
2018-09-10,XLIN01,Deposit,2000
2018-11-15,XLIN01,Deposit,1000
2019-01-25,XLIN01,Deposit,20000
2018-03-07,XLIN02,Deposit,23342